[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (6 handlers)
[GIN-debug] HEAD   /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (6 handlers)
[GIN-debug] GET    /                         --> main.SrvGin.func1 (6 handlers)
[GIN-debug] POST   /                         --> main.SrvGin.func2 (6 handlers)
[GIN-debug] POST   /EditProduct              --> main.EditProduct (6 handlers)
[GIN-debug] POST   /DelProduct               --> main.DelProduct (6 handlers)
[GIN-debug] POST   /DelProductSku            --> main.DelProductSku (6 handlers)
[GIN-debug] POST   /ProductList              --> main.ProductList (6 handlers)
[GIN-debug] GET    /ProductById/:id          --> main.ProductById (6 handlers)
[GIN] 2020/11/23 - 17:25:25 | 204 |            0s |             ::1 | OPTIONS  "/UserInfoList"
[GIN] 2020/11/23 - 17:25:25 | 200 |     38.9992ms |             ::1 | POST     "/UserInfoList"
[GIN] 2020/11/23 - 17:25:27 | 204 |            0s |             ::1 | OPTIONS  "/UserById/337245632022446080"
[GIN] 2020/11/23 - 17:25:27 | 200 |     18.9833ms |             ::1 | GET      "/UserById/337245632022446080"
[GIN] 2020/11/23 - 17:25:27 | 204 |            0s |             ::1 | OPTIONS  "/UserGroupList"
[GIN] 2020/11/23 - 17:25:27 | 204 |            0s |             ::1 | OPTIONS  "/TreeByType/2"
[GIN] 2020/11/23 - 17:25:27 | 200 |      7.2652ms |             ::1 | GET      "/TreeByType/2"
[GIN] 2020/11/23 - 17:25:27 | 200 |      8.2629ms |             ::1 | POST     "/UserGroupList"
[GIN] 2020/11/23 - 17:25:50 | 204 |            0s |             ::1 | OPTIONS  "/EditUser"
[GIN] 2020/11/23 - 17:25:50 | 200 |          34ms |             ::1 | POST     "/EditUser"
[GIN] 2020/11/23 - 17:25:51 | 204 |            0s |             ::1 | OPTIONS  "/UserInfoList"
[GIN] 2020/11/23 - 17:25:51 | 200 |     16.9996ms |             ::1 | POST     "/UserInfoList"
